id_dat,value,crep_id,create_date
1,289,1,2023-06-02 18:21:07.499656
2,199,1,2023-06-02 18:21:07.499656
3,106,1,2023-06-02 18:21:07.499656
4,197,1,2023-06-02 18:21:07.499656
5,21,1,2023-06-02 18:21:07.499656
6,261,1,2023-06-02 18:21:07.499656
7,102,1,2023-06-02 18:21:07.499656
8,62,1,2023-06-02 18:21:07.499656
9,107,1,2023-06-02 18:21:07.499656
10,266,1,2023-06-02 18:21:07.499656
11,134,1,2023-06-02 18:21:07.499656
12,107,1,2023-06-02 18:21:07.499656
13,25,1,2023-06-02 18:21:07.499656
14,243,1,2023-06-02 18:21:07.499656
15,99,1,2023-06-02 18:21:07.499656
1,173,2,2023-06-02 18:21:07.506629
2,239,2,2023-06-02 18:21:07.506629
3,62,2,2023-06-02 18:21:07.506629
4,286,2,2023-06-02 18:21:07.506629
5,120,2,2023-06-02 18:21:07.506629
6,156,2,2023-06-02 18:21:07.506629
7,176,2,2023-06-02 18:21:07.506629
8,13,2,2023-06-02 18:21:07.506629
9,110,2,2023-06-02 18:21:07.506629
10,89,2,2023-06-02 18:21:07.506629
11,272,2,2023-06-02 18:21:07.506629
12,278,2,2023-06-02 18:21:07.506629
13,203,2,2023-06-02 18:21:07.506629
14,126,2,2023-06-02 18:21:07.506629
15,289,2,2023-06-02 18:21:07.506629
1,198,3,2023-06-02 18:21:07.508620
2,101,3,2023-06-02 18:21:07.508620
3,233,3,2023-06-02 18:21:07.508620
4,116,3,2023-06-02 18:21:07.508620
5,230,3,2023-06-02 18:21:07.508620
6,166,3,2023-06-02 18:21:07.508620
7,292,3,2023-06-02 18:21:07.508620
8,307,3,2023-06-02 18:21:07.508620
9,129,3,2023-06-02 18:21:07.508620
10,229,3,2023-06-02 18:21:07.508620
11,305,3,2023-06-02 18:21:07.508620
12,244,3,2023-06-02 18:21:07.508620
13,1,3,2023-06-02 18:21:07.508620
14,157,3,2023-06-02 18:21:07.508620
15,261,3,2023-06-02 18:21:07.508620
1,153,4,2023-06-02 18:21:07.509617
2,323,4,2023-06-02 18:21:07.509617
3,162,4,2023-06-02 18:21:07.509617
4,36,4,2023-06-02 18:21:07.509617
5,224,4,2023-06-02 18:21:07.509617
6,308,4,2023-06-02 18:21:07.509617
7,69,4,2023-06-02 18:21:07.509617
8,295,4,2023-06-02 18:21:07.509617
9,20,4,2023-06-02 18:21:07.509617
10,70,4,2023-06-02 18:21:07.509617
11,83,4,2023-06-02 18:21:07.509617
12,201,4,2023-06-02 18:21:07.509617
13,172,4,2023-06-02 18:21:07.509617
14,55,4,2023-06-02 18:21:07.509617
15,24,4,2023-06-02 18:21:07.509617
1,302,5,2023-06-02 18:21:07.514599
2,323,5,2023-06-02 18:21:07.514599
3,202,5,2023-06-02 18:21:07.514599
4,34,5,2023-06-02 18:21:07.514599
5,250,5,2023-06-02 18:21:07.514599
6,129,5,2023-06-02 18:21:07.514599
7,70,5,2023-06-02 18:21:07.514599
8,302,5,2023-06-02 18:21:07.514599
9,134,5,2023-06-02 18:21:07.514599
10,57,5,2023-06-02 18:21:07.514599
11,58,5,2023-06-02 18:21:07.514599
12,188,5,2023-06-02 18:21:07.514599
13,336,5,2023-06-02 18:21:07.514599
14,261,5,2023-06-02 18:21:07.514599
