id_dat,value,crep_id
1,10,1
2,44,1
3,41,1
4,48,1
5,54,1
6,10,1
7,29,1
8,52,1
9,12,1
10,25,1
11,32,1
12,35,1
13,39,1
14,55,1
15,42,1
1,33,2
2,57,2
3,2,2
4,59,2
5,46,2
6,58,2
7,15,2
8,12,2
9,10,2
10,18,2
11,29,2
12,56,2
13,7,2
14,6,2
15,12,2
1,50,3
2,29,3
3,8,3
4,12,3
5,8,3
6,33,3
7,19,3
8,42,3
9,37,3
10,53,3
11,45,3
12,5,3
13,58,3
14,18,3
15,48,3
1,45,4
2,41,4
3,42,4
4,14,4
5,7,4
6,31,4
7,32,4
8,35,4
9,28,4
10,30,4
11,4,4
12,23,4
13,22,4
14,52,4
15,6,4
1,13,5
2,57,5
3,42,5
4,41,5
5,11,5
6,13,5
7,1,5
8,44,5
9,55,5
10,31,5
11,44,5
12,26,5
13,7,5
14,11,5
15,2,5
1,4,6
2,7,6
3,53,6
4,18,6
5,43,6
6,52,6
7,31,6
8,13,6
9,28,6
10,58,6
11,33,6
12,53,6
13,39,6
14,0,6
15,34,6
1,7,7
2,21,7
3,32,7
4,57,7
5,23,7
6,54,7
7,27,7
8,17,7
9,47,7
10,53,7
11,27,7
12,35,7
13,17,7
14,16,7
15,36,7
1,42,8
2,39,8
3,40,8
4,20,8
5,29,8
6,5,8
7,16,8
8,35,8
9,22,8
10,57,8
11,57,8
12,10,8
13,32,8
14,56,8
15,46,8
1,20,9
2,32,9
3,21,9
4,7,9
5,27,9
6,28,9
7,47,9
8,2,9
9,51,9
10,41,9
11,29,9
12,58,9
13,50,9
14,17,9
15,58,9
1,54,10
2,49,10
3,36,10
4,27,10
5,11,10
6,1,10
7,9,10
8,55,10
9,29,10
10,10,10
11,42,10
12,26,10
13,6,10
14,2,10
15,24,10
1,28,11
2,50,11
3,16,11
4,47,11
5,12,11
6,41,11
7,18,11
8,9,11
9,30,11
10,16,11
11,20,11
12,27,11
13,38,11
14,56,11
15,13,11
1,21,12
2,48,12
3,51,12
4,25,12
5,27,12
6,7,12
7,49,12
8,36,12
9,25,12
10,43,12
11,30,12
12,35,12
13,32,12
14,49,12
15,8,12
1,38,13
2,57,13
3,56,13
4,33,13
5,53,13
6,2,13
7,47,13
8,24,13
9,38,13
10,23,13
11,8,13
12,17,13
13,30,13
14,57,13
15,24,13
1,15,14
2,56,14
3,48,14
4,24,14
5,44,14
6,47,14
7,5,14
8,21,14
9,14,14
10,52,14
11,30,14
12,3,14
13,54,14
14,26,14
15,49,14
1,43,15
2,26,15
3,22,15
4,35,15
5,27,15
6,29,15
7,42,15
8,57,15
9,51,15
10,32,15
11,43,15
12,15,15
13,28,15
14,57,15
15,36,15
1,53,16
2,39,16
3,37,16
4,16,16
5,12,16
6,33,16
7,30,16
8,6,16
9,35,16
10,31,16
11,42,16
12,54,16
13,20,16
14,58,16
