id_dat,value,crep_id,create_date
1,3,1,2023-05-24 18:20:10.544378
2,18,1,2023-05-24 18:20:10.544378
3,6,1,2023-05-24 18:20:10.544378
4,55,1,2023-05-24 18:20:10.544378
5,36,1,2023-05-24 18:20:10.544378
6,52,1,2023-05-24 18:20:10.544378
7,43,1,2023-05-24 18:20:10.544378
8,27,1,2023-05-24 18:20:10.544378
9,21,1,2023-05-24 18:20:10.544378
10,12,1,2023-05-24 18:20:10.544378
11,16,1,2023-05-24 18:20:10.544378
12,25,1,2023-05-24 18:20:10.544378
13,22,1,2023-05-24 18:20:10.544378
14,46,1,2023-05-24 18:20:10.544378
15,38,1,2023-05-24 18:20:10.544378
1,55,2,2023-05-24 18:20:10.545378
2,17,2,2023-05-24 18:20:10.545378
3,6,2,2023-05-24 18:20:10.545378
4,2,2,2023-05-24 18:20:10.545378
5,46,2,2023-05-24 18:20:10.545378
6,42,2,2023-05-24 18:20:10.545378
7,19,2,2023-05-24 18:20:10.545378
8,22,2,2023-05-24 18:20:10.545378
9,40,2,2023-05-24 18:20:10.545378
10,36,2,2023-05-24 18:20:10.545378
11,16,2,2023-05-24 18:20:10.545378
12,10,2,2023-05-24 18:20:10.545378
13,57,2,2023-05-24 18:20:10.545378
14,10,2,2023-05-24 18:20:10.545378
15,48,2,2023-05-24 18:20:10.545378
1,8,3,2023-05-24 18:20:10.545378
2,31,3,2023-05-24 18:20:10.545378
3,27,3,2023-05-24 18:20:10.545378
4,25,3,2023-05-24 18:20:10.545378
5,26,3,2023-05-24 18:20:10.545378
6,48,3,2023-05-24 18:20:10.545378
7,37,3,2023-05-24 18:20:10.545378
8,41,3,2023-05-24 18:20:10.545378
9,41,3,2023-05-24 18:20:10.545378
10,33,3,2023-05-24 18:20:10.545378
11,17,3,2023-05-24 18:20:10.545378
12,6,3,2023-05-24 18:20:10.545378
13,51,3,2023-05-24 18:20:10.545378
14,21,3,2023-05-24 18:20:10.545378
15,24,3,2023-05-24 18:20:10.545378
1,11,4,2023-05-24 18:20:10.546378
2,18,4,2023-05-24 18:20:10.546378
3,30,4,2023-05-24 18:20:10.546378
4,16,4,2023-05-24 18:20:10.546378
5,37,4,2023-05-24 18:20:10.546378
6,35,4,2023-05-24 18:20:10.546378
7,25,4,2023-05-24 18:20:10.546378
8,16,4,2023-05-24 18:20:10.546378
9,56,4,2023-05-24 18:20:10.546378
10,30,4,2023-05-24 18:20:10.546378
11,58,4,2023-05-24 18:20:10.546378
12,25,4,2023-05-24 18:20:10.546378
13,27,4,2023-05-24 18:20:10.546378
14,2,4,2023-05-24 18:20:10.546378
15,42,4,2023-05-24 18:20:10.546378
1,50,5,2023-05-24 18:20:10.546378
2,52,5,2023-05-24 18:20:10.546378
3,21,5,2023-05-24 18:20:10.546378
4,56,5,2023-05-24 18:20:10.546378
5,48,5,2023-05-24 18:20:10.546378
6,18,5,2023-05-24 18:20:10.546378
7,10,5,2023-05-24 18:20:10.546378
8,5,5,2023-05-24 18:20:10.546378
9,8,5,2023-05-24 18:20:10.546378
10,19,5,2023-05-24 18:20:10.546378
11,59,5,2023-05-24 18:20:10.546378
12,57,5,2023-05-24 18:20:10.546378
13,11,5,2023-05-24 18:20:10.546378
14,36,5,2023-05-24 18:20:10.546378
15,57,5,2023-05-24 18:20:10.546378
1,0,6,2023-05-24 18:20:10.546378
2,12,6,2023-05-24 18:20:10.546378
